Date,Product,Category,Region,Sales,Cost
2024-07-07,Jeans,Apparel,North,622.21,319.28
2024-06-19,Sofa,Furniture,West,1978.79,1311.76
2024-12-23,Blender,Kitchen,East,746.1,547.83
2024-07-30,Samsung TV,Electronics,East,902.06,559.28
2024-12-06,Office Chair,Furniture,South,1017.6,660.68
2024-04-16,Samsung TV,Electronics,West,203.91,138.81
2024-07-22,Office Chair,Furniture,North,206.13,143.94
2024-06-04,Running Shoes,Apparel,South,1395.04,844.65
2024-01-12,Office Chair,Furniture,West,585.38,464.8
2024-07-21,Running Shoes,Apparel,East,1050.52,761.59
2024-06-12,Microwave,Kitchen,West,117.86,61.31
2024-06-12,Running Shoes,Apparel,North,1229.93,865.52
2024-11-28,Samsung TV,Electronics,South,1082.45,670.48
2024-01-23,Samsung TV,Electronics,North,1484.57,964.54
2024-06-29,Sofa,Furniture,East,1422.87,803.03
2024-02-24,Jeans,Apparel,South,289.14,218.55
2024-07-04,Jeans,Apparel,North,1630.5,1288.53
2024-10-07,Samsung TV,Electronics,East,1788.1,1350.75
2024-02-01,Air Fryer,Kitchen,East,1042.07,558.98
2024-08-27,Jeans,Apparel,North,753.75,506.28
2024-10-06,Air Fryer,Kitchen,North,178.21,110.39
2024-09-14,Running Shoes,Apparel,West,1655.51,864.38
2024-08-19,Jeans,Apparel,West,1376.21,830.34
2024-03-25,Microwave,Kitchen,South,1547.17,833.48
2024-01-21,Samsung TV,Electronics,South,643.04,352.77
2024-04-10,Gaming Console,Electronics,East,1699.57,977.56
2024-01-06,Air Fryer,Kitchen,East,1248.14,659.05
2024-09-12,Microwave,Kitchen,South,383.84,263.83
2024-08-09,Microwave,Kitchen,North,1659.21,843.73
2024-07-13,Microwave,Kitchen,East,1319.7,963.5
2024-07-17,Jeans,Apparel,East,1301.72,768.83
2024-05-13,Running Shoes,Apparel,East,934.41,660.24
2024-07-30,Jeans,Apparel,South,713.38,387.44
2024-12-04,Office Chair,Furniture,West,304.99,186.4
2024-06-05,Jeans,Apparel,North,571.57,328.3
2024-04-14,Running Shoes,Apparel,West,534.13,405.72
2024-07-08,Microwave,Kitchen,East,420.18,230.18
2024-10-16,Sofa,Furniture,West,95.19,74.59
2024-03-07,Blender,Kitchen,East,144.88,84.67
2024-08-31,Jeans,Apparel,East,1096.55,826.97
2024-08-24,Office Chair,Furniture,West,763.58,473.55
2024-01-10,Gaming Console,Electronics,East,193.39,125.95
2024-12-29,Microwave,Kitchen,North,300.89,159.17
2024-08-28,Gaming Console,Electronics,East,1522.18,851.99
2024-06-11,iPhone 13,Electronics,North,317.22,190.3
2024-10-13,Microwave,Kitchen,South,689.53,471.58
2024-11-24,Sofa,Furniture,East,1039.26,678.55
2024-05-12,Jeans,Apparel,North,768.3,539.46
2024-05-06,iPhone 13,Electronics,West,567.78,395.56
2024-09-12,Blender,Kitchen,North,1187.87,654.7
2024-05-22,Running Shoes,Apparel,South,1652.24,946.17
2024-01-31,Blender,Kitchen,North,910.03,569.35
2024-03-09,Gaming Console,Electronics,West,1751.99,1262.75
2024-11-07,Blender,Kitchen,East,1996.34,1284.67
2024-10-19,Jeans,Apparel,East,1115.23,783.74
2024-03-05,Sofa,Furniture,West,424.92,243.89
2024-02-12,Sofa,Furniture,East,1424.56,1007.27
2024-06-12,Gaming Console,Electronics,East,611.19,410.75
2024-04-26,Running Shoes,Apparel,East,1911.49,1417.15
2024-03-26,Samsung TV,Electronics,East,1851.82,1290.33
2024-08-12,Gaming Console,Electronics,East,1869.4,1325.13
2024-08-29,Microwave,Kitchen,South,522.79,366.45
2024-12-15,iPhone 13,Electronics,North,855.94,612.17
2024-05-25,iPhone 13,Electronics,South,843.47,658.34
2024-07-23,Blender,Kitchen,East,676.28,469.18
2024-08-12,Microwave,Kitchen,South,1093.55,784.0
2024-05-28,Air Fryer,Kitchen,West,1770.38,978.55
2024-03-15,Running Shoes,Apparel,West,413.31,299.53
2024-02-03,iPhone 13,Electronics,North,631.86,430.19
2024-11-13,Jeans,Apparel,West,1784.06,963.86
2024-09-22,Samsung TV,Electronics,East,366.86,233.94
2024-11-24,Office Chair,Furniture,East,1157.17,841.48
2024-12-05,Running Shoes,Apparel,West,1054.8,554.85
2024-09-26,Air Fryer,Kitchen,West,681.02,391.19
2024-04-22,Sofa,Furniture,,638.79,457.93
2024-08-08,Blender,Kitchen,North,1352.18,864.88
2024-04-16,Sofa,Furniture,North,1295.49,1013.32
2024-07-26,Air Fryer,Kitchen,West,348.71,252.58
2024-06-04,Gaming Console,Electronics,West,1526.83,1130.77
2024-12-25,Microwave,Kitchen,North,1074.74,707.66
2024-06-15,Samsung TV,Electronics,North,1666.11,1284.35
2024-06-05,Air Fryer,Kitchen,East,1716.25,1085.62
2024-12-25,Jeans,Apparel,North,1802.83,1142.35
2024-05-06,Running Shoes,Apparel,West,1149.63,767.54
2024-01-21,iPhone 13,Electronics,West,546.19,273.59
2024-08-02,Running Shoes,Apparel,East,1415.75,937.72
2024-06-01,Jeans,Apparel,North,609.83,337.84
2024-04-12,Running Shoes,Apparel,East,1986.07,1220.92
2024-04-15,Running Shoes,Apparel,North,1381.32,964.9
2024-02-10,Office Chair,Furniture,North,398.02,263.16
2024-02-24,Blender,Kitchen,North,1524.55,1209.8
2024-08-23,Running Shoes,Apparel,West,1655.55,950.71
2024-08-25,Samsung TV,Electronics,North,1628.48,1019.06
2024-10-08,iPhone 13,Electronics,South,451.86,239.61
2024-09-09,iPhone 13,Electronics,South,1494.06,927.33
2024-11-10,iPhone 13,Electronics,South,1032.6,605.91
2024-06-30,Office Chair,Furniture,East,511.96,390.56
2024-06-18,Running Shoes,Apparel,East,586.55,391.24
2024-09-01,Air Fryer,Kitchen,West,1133.91,582.9
2024-08-29,Running Shoes,Apparel,East,1407.8,876.32
2024-10-26,Gaming Console,Electronics,West,519.89,295.09
2024-03-13,Jeans,Apparel,North,1146.65,906.24
2024-12-03,Blender,Kitchen,East,446.51,309.88
2024-07-16,Samsung TV,Electronics,South,150.5,92.28
2024-09-05,Samsung TV,Electronics,South,1619.07,1094.94
2024-03-01,Blender,Kitchen,East,641.22,495.47
2024-11-14,Samsung TV,Electronics,West,1833.16,1299.14
2024-06-07,Blender,Kitchen,East,1562.25,959.53
2024-06-23,Sofa,Furniture,East,1049.99,681.64
2024-05-06,Jeans,Apparel,East,1832.94,1120.31
2024-09-25,Blender,Kitchen,South,81.63,54.37
2024-05-13,Sofa,Furniture,South,432.57,246.13
2024-03-15,Gaming Console,Electronics,East,551.79,411.9
2024-04-08,Jeans,Apparel,West,378.06,279.19
2024-08-24,Jeans,Apparel,South,1837.95,1217.9
2024-01-15,iPhone 13,Electronics,North,1893.12,1326.06
2024-11-06,Blender,Kitchen,North,1428.98,718.41
2024-09-09,Microwave,Kitchen,West,1335.6,674.1
2024-01-03,iPhone 13,Electronics,East,1094.69,641.5
2024-02-19,Running Shoes,Apparel,South,258.68,136.81
2024-08-26,Gaming Console,Electronics,East,1639.67,951.33
2024-03-20,Running Shoes,Apparel,West,1151.75,918.03
2024-07-14,Samsung TV,Electronics,North,232.33,142.6
2024-04-08,iPhone 13,Electronics,South,211.24,159.19
2024-03-29,Samsung TV,Electronics,North,498.04,383.68
2024-11-21,Sofa,Furniture,North,1852.11,1306.35
2024-03-01,iPhone 13,Electronics,South,1861.09,1106.13
2024-10-28,Running Shoes,Apparel,North,633.59,423.99
2024-03-05,Gaming Console,Electronics,East,798.5,576.46
2024-12-11,Samsung TV,Electronics,East,154.71,97.64
2024-08-27,Microwave,Kitchen,West,1939.4,1159.59
2024-11-20,Jeans,Apparel,West,494.87,329.54
2024-03-18,Microwave,Kitchen,West,217.1,148.84
2024-03-26,Samsung TV,Electronics,East,350.73,250.25
2024-04-09,Office Chair,Furniture,East,257.77,129.29
2024-01-19,Sofa,Furniture,North,308.39,171.53
2024-08-29,Running Shoes,Apparel,North,101.21,61.35
2024-06-11,Office Chair,Furniture,West,74.06,46.22
2024-09-25,Gaming Console,Electronics,South,1165.32,641.95
2024-02-27,Sofa,Furniture,East,1011.59,525.0
2024-11-22,Jeans,Apparel,North,754.19,590.73
2024-06-03,Microwave,Kitchen,,942.83,509.74
2024-10-02,Microwave,Kitchen,West,1617.95,968.93
2024-07-19,Microwave,Kitchen,South,635.85,432.99
2024-04-22,Air Fryer,Kitchen,West,1939.01,1139.04
2024-12-04,Microwave,Kitchen,South,685.48,400.38
2024-06-02,Microwave,Kitchen,South,1204.84,799.64
2024-12-19,Jeans,Apparel,South,904.99,531.59
2024-05-24,Running Shoes,Apparel,West,321.4,189.9
2024-01-14,Running Shoes,Apparel,West,194.23,154.84
2024-10-13,Gaming Console,Electronics,West,1110.11,818.39
2024-10-11,Gaming Console,Electronics,North,263.27,151.24
2024-07-19,Microwave,Kitchen,North,1148.28,796.34
2024-06-13,Office Chair,Furniture,West,256.59,135.89
2024-08-24,Gaming Console,Electronics,South,919.27,567.5
2024-04-20,Gaming Console,Electronics,South,722.69,366.67
2024-01-11,Samsung TV,Electronics,North,1671.07,1201.57
2024-06-05,Blender,Kitchen,West,729.19,385.95
2024-05-13,Samsung TV,Electronics,East,137.13,97.81
2024-09-18,Samsung TV,Electronics,South,1863.35,1345.61
2024-05-03,Office Chair,Furniture,West,1919.0,1092.98
2024-08-21,Running Shoes,Apparel,West,106.92,73.16
2024-03-05,Running Shoes,Apparel,North,1424.23,800.04
2024-02-18,Samsung TV,Electronics,North,1609.03,1063.68
2024-01-04,Samsung TV,Electronics,East,1357.87,878.33
2024-12-24,Running Shoes,Apparel,West,1194.66,722.03
2024-11-07,Sofa,Furniture,North,1360.61,808.14
2024-07-20,Office Chair,Furniture,South,1046.11,654.31
2024-04-27,Air Fryer,Kitchen,West,1289.23,912.81
2024-03-31,Gaming Console,Electronics,South,1004.8,544.69
2024-12-16,iPhone 13,Electronics,East,1906.09,1230.16
2024-06-09,Gaming Console,Electronics,West,847.81,548.97
2024-07-26,Air Fryer,Kitchen,North,1152.53,851.45
2024-11-09,Blender,Kitchen,East,378.01,240.87
2024-11-27,Gaming Console,Electronics,North,1166.79,677.17
2024-05-18,Gaming Console,Electronics,North,1532.01,968.86
2024-12-07,Blender,Kitchen,East,1755.88,894.92
2024-04-06,Samsung TV,Electronics,West,1737.32,929.84
2024-05-02,Microwave,Kitchen,East,1729.04,1181.07
2024-01-29,Blender,Kitchen,South,1620.61,1087.47
2024-09-23,Air Fryer,Kitchen,East,1959.05,1151.51
2024-07-31,Gaming Console,Electronics,North,314.4,227.95
2024-01-20,Sofa,Furniture,South,1417.78,765.33
2024-10-09,Blender,Kitchen,West,1004.44,676.22
2024-12-22,Jeans,Apparel,North,1285.57,982.22
2024-07-20,Sofa,Furniture,East,936.66,605.47
2024-04-07,Samsung TV,Electronics,West,1287.94,913.39
2024-10-05,Running Shoes,Apparel,South,1937.85,1448.45
2024-01-29,Sofa,Furniture,East,1117.26,602.4
2024-06-05,iPhone 13,Electronics,North,244.17,179.51
2024-06-14,Air Fryer,Kitchen,West,940.21,749.87
2024-06-08,Air Fryer,Kitchen,East,360.01,280.74
2024-11-22,Sofa,Furniture,North,775.1,597.71
2024-11-04,Sofa,Furniture,South,887.0,467.77
2024-09-16,Samsung TV,Electronics,South,1207.68,N/A
2024-07-21,Office Chair,Furniture,North,1976.9,1238.91
2024-12-16,Running Shoes,Apparel,North,1474.99,782.82
2024-06-26,Air Fryer,Kitchen,West,1558.25,1131.21
2024-08-21,Air Fryer,Kitchen,North,1084.49,545.0
2024-03-22,Blender,Kitchen,South,1843.79,1262.67
2024-11-27,Samsung TV,Electronics,South,1517.27,1027.0
2024-10-01,Office Chair,Furniture,South,533.18,369.7
2024-04-10,Microwave,Kitchen,East,1568.99,1109.5
2024-04-14,Sofa,Furniture,South,1059.61,691.77
2024-10-08,iPhone 13,Electronics,South,1015.03,541.85
2024-10-26,Gaming Console,Electronics,North,1974.42,1540.4
2024-04-03,Microwave,Kitchen,West,762.55,537.51
2024-01-03,Samsung TV,Electronics,North,1195.36,602.63
2024-05-31,Running Shoes,Apparel,East,1275.71,829.61
2024-03-18,Samsung TV,Electronics,South,591.06,350.48
2024-05-19,Air Fryer,Kitchen,East,811.93,560.47
2024-09-17,Samsung TV,Electronics,East,1412.42,1015.51
2024-04-16,Samsung TV,Electronics,West,276.17,188.81
2024-02-06,Air Fryer,Kitchen,,74.7,40.42
2024-09-11,Office Chair,Furniture,East,375.58,202.09
2024-03-19,Samsung TV,Electronics,North,703.27,442.21
2024-11-13,Microwave,Kitchen,North,1017.49,664.66
2024-02-03,Air Fryer,Kitchen,East,356.75,261.14
2024-08-27,Samsung TV,Electronics,South,1494.52,N/A
2024-05-21,iPhone 13,Electronics,West,759.75,589.62
2024-02-05,iPhone 13,Electronics,West,487.8,280.23
2024-11-01,Samsung TV,Electronics,East,282.83,198.55
2024-11-25,Gaming Console,Electronics,North,1910.45,994.73
2024-06-22,Sofa,Furniture,East,218.45,139.16
2024-10-18,Sofa,Furniture,South,954.66,646.79
2024-08-11,Blender,Kitchen,South,343.6,267.91
2024-08-22,iPhone 13,Electronics,East,52.85,36.85
2024-04-24,Samsung TV,Electronics,South,1083.14,618.96
2024-12-17,Air Fryer,Kitchen,East,231.4,179.65
2024-04-06,Office Chair,Furniture,West,1950.38,1024.87
2024-09-14,Running Shoes,Apparel,North,1204.2,624.6
2024-06-26,Sofa,Furniture,East,1709.28,1329.5
2024-07-08,Office Chair,Furniture,East,932.88,531.82
2024-05-03,Microwave,Kitchen,North,353.05,193.93
2024-05-29,Gaming Console,Electronics,East,1931.04,1085.81
2024-04-15,Samsung TV,Electronics,North,357.35,252.22
2024-07-23,iPhone 13,Electronics,South,1680.05,1005.24
2024-12-30,Office Chair,Furniture,West,1051.25,739.19
2024-12-28,iPhone 13,Electronics,West,1716.47,1144.52
2024-05-03,Samsung TV,Electronics,South,286.83,148.72
2024-03-30,Blender,Kitchen,West,775.87,534.64
2024-10-22,Sofa,Furniture,North,92.51,48.04
2024-09-06,Air Fryer,Kitchen,North,1814.9,1359.01
2024-04-14,Jeans,Apparel,North,377.58,253.8
2024-11-08,iPhone 13,Electronics,West,1382.27,762.79
2024-11-30,Sofa,Furniture,West,1772.68,904.77
2024-03-18,Sofa,Furniture,West,853.38,567.67
2024-10-22,Air Fryer,Kitchen,West,438.94,335.96
2024-12-10,Gaming Console,Electronics,North,1979.34,1453.97
2024-04-25,Jeans,Apparel,East,1829.72,1190.63
2024-10-17,Office Chair,Furniture,South,107.14,79.63
